ID;expression1;expression2;sentence1;sentence2
hom_227;Globetrotter;Globetrotter;The Harlem Globetrotters entertain fans with their basketball tricks.;She works as a globetrotter, traveling to different countries every year.
hom_1695;stand-up guys;stand-up guys;He is a reliable and trustworthy stand-up guy who always keeps his promises.;The stand-up guys in the restroom all have to stand up to use the facilities.
het_1435;propane;profane;The technician checked the propane tanks before the barbecue.;The speaker was criticized for using profane language during the debate.
hom_1607; accidental; accidental; The musician used several accidentals in the piece.; He had an accidental fall that required hospitalization.
hom_390;date;date;The palm tree is bearing many dates this year.;They decided to go on a date to the new restaurant.
hom_1928;whole;hole;He completed the whole project before the deadline.;There is a hole in the roof that needs to be fixed.
het_143;Parkay;Parkay;I always use Parkay for my morning toast.;We decided to renovate the kitchen with Parkay flooring.
het_1076;soots;suits;He soots the chimney regularly to prevent buildup.;That style suits him well.
hom_454;cabinets;cabinets;The president's cabinets are meeting to discuss national security.;They installed new cabinets in the kitchen last week.
het_387;kiln time;killing time;She used kiln time to fire her pottery.;He was just killing time while waiting for the bus.
hom_1122;hives;hives;The bees returned to their hives every evening.;After the bee sting, he developed red hives on his arm.
hom_1168;kid;kid;I took my kid to school.;The goat had a new kid today.
hom_1545; picking up; picking up; After the surgery, he is picking up nicely.; The vacuum cleaner is very efficient at picking up dirt.
hom_2222;shot;shot;She has one shot to convince the committee of her proposal.;The derringer fired a quick shot during the altercation.
hom_711;cutting words;cutting words;She used cutting words during the argument, leaving him feeling hurt.;He was cutting words from the paper using his scissors.
hom_876;plugging away;plugging away;She has been plugging away at her thesis for over a year.;The electrician is plugging away by connecting the cables to the outlets.
het_394;content;content;After a long day, she felt content.;The content of the book was thoroughly researched.
hom_1479;plot;plot;He planted vegetables in the plot behind his house.;The novel lacked a compelling plot.
het_541;Phillip;fill up;Phillip is the new member of our team.;Please fill up the tank before leaving the station.
het_810; census; senses; The government conducts a census every ten years to collect demographic data; After the storm, he began to lose his senses and struggled to remain conscious.
het_1749;incisor;insider;The dentist checked the patient's incisor for cavities.;She was fined for insider trading in the stock market.
hom_1251;turn out;turn out;We are eager to see how the project turns out.;She decided to turn out her reversible jacket before the event.
hom_1036; projected; projected; Tom projected his ideas confidently during the meeting.; The film was projected onto the large screen for all audience members to see.
hom_1697;contacts;contacts;He didn't have enough contacts to find a new job.;She wears contacts to correct her vision.
hom_1848;out of the picture;out of the picture;After the company's restructuring, the marketing team was out of the picture.;During the family reunion, Uncle Joe was out of the picture in all the photographs.
het_1216; tongue in chic; tongue in cheek; The fashion show was presented with tongue in chic, highlighting the latest trends.; He made the comment with tongue in cheek, not to be taken seriously.
hom_1704;point;point;The point of the barbed hook was sharp enough to catch any fish.;After making the decision, he felt he had reached the point of no return.
hom_278;tips;tips;I always leave good tips for the server when dining out.;Be careful not to cut the tips of the paper when you trim it.
het_112; rogaine; regain; The bald man used Rogaine to stimulate hair growth.; The bald man worked hard to regain his confidence after the setback.
hom_100;racket;racket;The construction site created a lot of racket in the park.;She upgraded her racket to improve her tennis game.
hom_593;opposed;opposed;The two teams were opposed to each other's ideas during the debate.;The thumb and forefinger are opposed, allowing for a firm grasp.
hom_1197;keeper;keeper;The team's keeper made several crucial saves during the championship match.;She realized he was a keeper and decided to continue their relationship.
het_1045;expect;expectorate;I always expect the best results from my efforts.;After using the cough syrup, he began to expectorate frequently.
hom_888;do a number on it;do a number on it;The math professor did a number on the blackboard, writing complex equations for the class.;The vandals did a number on the storefront, causing significant damage.
het_1504;paragon;tarragon;She is a paragon of virtue in her community.;The chef added fresh tarragon to the sauce for extra flavor.
het_1432;croc;crock;He bumped into a croc during his hike.;Her excuse was a complete crock.
hom_554;fashion;fashion;The company's fashion strategy emphasizes sustainability.;She chose a stylish fashion for the evening event.
hom_550;mammoth;mammoth;The construction project was a mammoth task that required numerous resources.;The museum displayed the skeleton of a mammoth found in Siberia.
het_1276;verse;worse;The poet wrote an inspiring verse that moved the audience.;After the storm, the damage was worse than expected.
hom_572; full plate; full plate; She has a full plate with work lately.; The dinner plate was a full plate of delicious food.
hom_581;under the weather;under the weather;She was feeling under the weather and decided to rest at home.;The meteorologists work under the weather, analyzing storm patterns.
hom_219;dough;dough;The baker kneaded the dough thoroughly before baking the bread.;She saved a portion of her dough each month for emergencies.
het_1690;eon lights;neon lights;Archaeologists require eon lights to study artifacts spanning millions of years.;The city was illuminated by vibrant neon lights every night.
het_654;Son;Sun;Exposure to the Sun can lead to sunburn.;Spending time with my son helps me relax.
hom_269;tie;tie;She secured her tie before the presentation.;He decided to tie the rope to the post.
hom_852; touch; touch; The therapist's touch was firm and professional.; Her presentation included a nice touch that impressed everyone.
het_1676;Barry;bury;Barry went to the store to buy groceries.;They decided to bury the time capsule in the backyard.
het_459;patiently;patient;Tom waited patiently to see the doctor.;Tom, as a patient, was eager to see the doctor.
het_871;mane;main;The lion's mane is thick and majestic.;The main concern is the project's timeline.
hom_599;kick;kick;He likes to kick the ball during soccer practice.;She decided to kick the habit of smoking.
hom_1310;skeleton idea;skeleton idea;"We started the project with a skeleton idea to outline our main goals.";"During the excavation of the graveyard, archaeologists uncovered several skeleton ideas scattered among the tombstones."
het_1180;whining;wining;She couldn't bear his constant whining.;They spent the afternoon wining at the local winery.
het_904;Belle;Bell;My name is Belle.;I play the bell.
hom_1812;sucked in;sucked in;She was sucked in by the captivating novel.;The vacuum cleaner sucked in all the dust.
hom_1849;blow over;blow over;Their disagreement was intense, but they knew it would blow over eventually.;The storm was so fierce that it continued to blow over the trees all night.
hom_1237;address;redress;The team will address the issue during the meeting.;She decided to redress her outfit before going out.
hom_799;dry;dry;The towels are dry after being in the laundry.;He has a dry sense of humor.
hom_1179;scale;scale;The architect designed the model to scale to ensure accurate representations.;The climbers attempted to scale the steep cliff despite the harsh weather.
het_1101; warship; worship; The soldiers boarded the warship before heading to battle.; The chaplain led the soldiers in their morning worship.
het_930;beet;beat;I added fresh beets to the salad for extra flavor.;She plans to beat her opponent in the upcoming match.
hom_1346;Rusty;Rusty;Rusty is a common name in my family.;The car has become rusty over time.
hom_1242; screams; screams; The baby screams loudly whenever she is upset.; The livestock screams, indicating it has not been butchered yet.
het_1113;wurst;worst;I enjoyed a traditional bratwurst for dinner.;This was the worst movie I have ever seen.
het_510;heir;hair;The young heir was excited to inherit the family estate.;She decided to go to the salon because her hair was unruly.
hom_1421;state;state;The state passed new legislation today.;After the marathon, she was in a remarkable state.
hom_1044;struck;struck;The tree was struck by lightning during the storm.;A sudden idea struck him while he was walking.
hom_1995;hounded;hound;She was hounded by her colleagues to complete the project.;The hound chased the rabbit through the field.
hom_1581;forgive and forget;forgive and forget;He decided to forgive his friend for the mistake.;She couldn't forget the events of that day.
hom_543;late;late;He was always late to class.;She was the late professor known for her groundbreaking research.
het_239;pi;pie;The value of pi is approximately 3.14159.;She baked a delicious apple pie for dessert.
het_1745; hue; Hugh; The artist mixed various hues to create a vibrant painting.; Hugh went to the art gallery to see the new exhibition.
het_1147;Gil;gill;Gil enjoys spending his weekends fishing by the lake.;Fish rely on their gills to extract oxygen from the water.
het_1177;rhyme;crime;The poet carefully crafted a perfect rhyme for his new poem.;The suspect was arrested for committing the serious crime.
het_835; safe sex; safe sex; He always practiced safe sex to prevent sexually transmitted infections.; They planned their safe sex carefully to avoid getting caught in the act.
het_1428;greeter;greater;The greeter welcomed customers at the entrance.;She is greater than anyone I know.
hom_1434;Will;will;Will is a common name for a lawyer.;A will must be carefully drafted to be legally binding.
hom_1019;time to kill;time to kill;He had some time to kill, so he read a book.;He stomped on his old watch to time to kill it.
hom_1393;chime;chime;The doorbell chimed every time someone pressed the button.;She decided to chime in during the meeting with her suggestions.
hom_294;spark;spark;After years of hard work, she still has a spark that inspires everyone around her.;The technician used a spark to ignite the explosive charge.
hom_2065;blustered;blustered;The coach blustered at the players after their loss.;The blustered wind knocked over several trees in the park.
het_1364;candidly;Candide;She answered the questions candidly during the interview.;He spent his summer vacation reading *Candide* by Voltaire.
hom_1259;fell into it;fell into it;He didn't actively seek the position; he just fell into it.;While hiking, he lost his balance and fell into it.
het_1085;Marx;marks;I decided to read more about Marx to understand the foundations of communism.;My grades were disappointing, so I decided to study harder to improve my marks.
het_168;Monet;money;The gallery showcased several Monet pieces that impressed the art critics.;She saved her money diligently to buy a new car.
hom_2036; making the cut; making the cut; After weeks of training, she finally made the cut and qualified for the championship.; The tailor explained that making the cut precisely is essential for a well-fitted suit.
het_381;loftily;loft;Tom spoke loftily about his achievements.;They store the hay in the loft.
het_1644;lease;least;The dealership offered a lease for the new car.;She had the least amount of time to complete her assignment.
hom_1760;loved children;loved children;She loved children and dedicated her career to teaching them.;He was placed on parole for crimes related to his love of children.
hom_1292;go down;go down;The elevator will go down to the ground floor.;She loves to go down on the dance floor when her favorite song plays.
hom_522;filed;filed;She filed the documents in the cabinet.;She filed her nails to make them shorter.
hom_791;cutting it;cutting it;He spent the afternoon cutting it with the lawnmower.;Despite his efforts, the project wasn't cutting it and needed improvement.
het_1668;coffers;coughers;The city allocated funds from its coffers to build a new park.;Many coughers sought medical advice during the winter season.
hom_600;bench;bench;She sat on the bench in the park.;She knew how to conduct herself on the bench during court proceedings.
hom_208; up in arms; up in arms; The citizens were up in arms against the new regulation.; During the assembly, the students were up in arms to answer the teacher's question.
hom_2249; burn the candle on both ends; burn the candle on both ends; She tends to burn the candle on both ends, often working late into the night.; If you burn the candle on both ends, it will burn out more quickly.
hom_634;old heads on young shoulders;old heads on young shoulders;The mentorship program is designed to connect old heads on young shoulders to foster knowledge transfer.;During the excavation, archaeologists found old heads on young shoulders preserved in the ancient burial site.
het_375;humerus;humorous;The doctor diagnosed a humerus fracture after the accident.;The comedian's new joke was very humorous.
het_70;sari;sorry;The woman wore a beautiful sari to the ceremony.;I am very sorry for the inconvenience caused.
hom_341;alternative arrangements;alternative arrangements;The florist created beautiful alternative arrangements for the ceremony.;They met with the attorney to discuss their alternative arrangements in case of unforeseen events.
het_1466; rapid transit; rabbit transit; The city invested heavily in rapid transit to reduce traffic congestion.; The rabbits used rabbit transit to commute to their burrows every morning.
hom_679;breeches;breech;She decided to wear comfortably fitted breeches for the equestrian event.;The doctor explained that the baby was in breech position, so a cesarean section would be necessary.
hom_2040;fate is in the cards;fate is in the cards;She consulted a fortune teller because she believes her fate is in the cards.;The greeting card company's fate is in the cards they create for various occasions.
het_111;gilt;guilt;The ornate picture frame was beautifully gilt with gold paint.;She felt intense guilt after forgetting her friend's birthday.
het_426;callus;callous;She developed a thick callus on her heel after running many miles.;He has a callous attitude towards his employees' concerns.
hom_1759;core;core;The apple's core contains the stem and seeds.;She always adheres to her core values in every decision.
het_260;woe;whoa;She was overwhelmed by woe after hearing the bad news.;He shouted "Whoa!" to stop the horse from running.
het_1532; bail; bale; She had to bail water out of the sinking boat.; He stacked the hay into a large bale.
hom_1986;highlight;highlight;She booked an appointment to get a highlight for her hair.;Attending the concert was the highlight of her day.
hom_2033; scotch; scotch; He enjoys a glass of scotch every evening after work.; She decided to scotch the rumors to maintain her reputation.
hom_1506;convertible;convertible;She loves driving her convertible along the coastline on sunny days.;As a missionary, he aims to be highly convertible to effectively share his beliefs.
het_578;wait;weight;She had to wait for an hour at the bus stop.;The box was too heavy because of its great weight.
hom_984;locked up;locked up;After lifting heavy weights all morning, his back locked up, making it difficult for him to move.;Remember to lock up the house before you leave for vacation.
hom_1341;in the end;in the end;In the end, they decided to move forward with the plan.;The doctor performed the prostate exam by examining in the end.
hom_1181;bust;bust;The company went bust after the financial crisis.;She admired the artist's detailed bust sculpture.
hom_2233;fall;fall;The hiker experienced a great fall while climbing the mountain.;She loves the vibrant colors of fall every year.
hom_2164; hanging; hanging; She kept the audience hanging by not revealing the story's conclusion.; The chandelier is hanging elegantly from the ceiling.
het_1238;truth decay;tooth decay;The rise of misinformation has contributed to the phenomenon of truth decay.;Regular dental check-ups are essential to prevent tooth decay.
het_344; deed; deed; He signed the deed to officially own the property.; Performing a good deed can make a significant difference in someone's life.
het_1333;center;scenter;"Your nose is in the center of your face.";"Your nose helps you detect scents."
hom_1929;get rolling;get rolling;The team needs to get rolling on the new project.;The tires will get rolling once the engine starts.
het_388; bellicose; varicose; His bellicose attitude made him unpopular among his peers.; She was concerned about the appearance of her varicose veins.
hom_440;ground;ground;The coffee beans were ground just before brewing to ensure freshness.;After the storm, the garden was covered in mud from the ground.
hom_1912;dissect;dissect;The veterinarian will dissect the sheep to study its anatomy.;She needs to dissect the author's arguments for her literature paper.
hom_389;cuts;cuts;Due to budget constraints, the company had to make cuts on its staff.;At the hair salon, the stylist will cut your hair to your desired style.
het_1755;allowed;aloud;You are allowed to leave the office early today.;Please speak aloud so everyone can hear you clearly.
hom_375;score to settle;score to settle;The referee must determine the final score to settle the outcome of the match.;After the disagreement, she decided she had a score to settle with her colleague.
het_869;gleam;gleam;The morning sun made the lake gleam.;She couldn't hide the gleam of her perfectly brushed teeth.
hom_1397; striking resemblance; striking resemblance; The two bowlers have a striking resemblance, making them look almost identical.; In the bowling league, achieving a striking resemblance meant scoring a strike by knocking down all the pins in one throw.
hom_1851;croak;croak;The frogs croak every evening by the lake.;After a long illness, he decided to croak peacefully.
hom_890;tired;tired;I felt tired after the long hike.;She is tired of her daily routine.
het_1290;rued;rude;She rued her decision to skip the meeting.;His rude remarks offended many of his colleagues.
hom_1618;vision;vision;The optometrist checked my vision during my eye exam.;The leader's vision for the organization inspired all the employees.
het_779;compliment;complement;She gave him a compliment on his presentation.;The scarf complements her outfit.
het_1778;order;ordure;Please arrange the books in alphabetical order.;The garden was covered with horse ordure after the heavy rain.
het_561;fault;vault;He was generous to a fault, always putting others' needs before his own.;The banker was generous to a vault, regularly contributing to secure the bank's valuables.
het_1289;prince;prints;The prince attended the royal banquet.;She ordered prints of her latest photographs.
hom_1257;engaging;engaging;She delivered an engaging presentation that held everyone's attention.;After he proposed, they are engaging to start their married life together.
hom_2116;jogging my memory;jogging my memory;I go jogging every morning to stay fit.;She is jogging my memory to help me remember the event.
het_543;transparent;transparent;The window was transparent, allowing sunlight to enter the room.;The organization decided to be transparent about its decision-making process.
hom_661;excel;Excel;She strives to excel in her studies.;He used Excel to create the financial report.
hom_726;hip;hip;The orthopaedic surgeon specializes in hip surgeries.; That new café is really hip among the young crowd.
hom_1522;patience;patients;She showed remarkable patience while learning the new skill.;The nurse carefully monitored all her patients throughout the night.
hom_1232;driving;driving;He has a strong driving ambition to excel in his career.;He spent hours practicing his driving at the golf driving range.
het_1052;watt;lot;The light bulb uses 60 watts of power.;I have a lot of homework to do tonight.
het_520; philately; flattery; His passion for philately led him to travel around the world to collect rare stamps.; She appreciated his flattery and felt valued in the conversation.
hom_660;checked;checked;The king was checked by the opponent's bishop in the chess match.;The player was checked into the boards during the hockey game.
hom_737;boot;boot;He bought a new pair of boots for the winter.;She completed the project on time, and to boot, she was praised for her diligence.
het_158; yammered; yam; The lecturer yammered on about the complexities of quantum physics.; She added yams to the casserole for extra sweetness.
het_1731; follow the leader; swallow the leader; "In the workshop, participants were encouraged to follow the leader to ensure consistency."; "During the ceremony, members were instructed to swallow the leader as part of the ritual."
Here is the structured information based on your request:
het_624;charm;charm;She spoke to the children with a lot of charm.;He wore a silver charm on his bracelet.
hom_636; relief; relief; The ancient wall featured an intricate relief depicting various deities.; After submitting his project, he felt an immense sense of relief.
hom_1174;thirst;thirst;He felt a strong thirst after running the marathon and drank several glasses of water.;She has a thirst for knowledge and is always eager to learn new things.
het_364;census;senses;The government conducts a census every ten years to collect population data.;She uses her senses to navigate through the dark room.
het_752;aunts;ants;My aunts are coming over for dinner this weekend.;Carpenter ants can weaken the wooden beams in the house.
het_1325; name; name; Please write your name at the top of the document.; Her name is renowned for her philanthropic efforts.
hom_1062;withdrawal;withdrawal;He began attending support groups to manage his withdrawal from nicotine.;She initiated a withdrawal of funds from her savings account.
hom_1564;floor;floor;The janitor cleans the floor every day.;During the meeting, she was granted the floor to present her ideas.
hom_1614;premises;premises;The philosopher based his theory on several key premises.;They decided to expand their business by acquiring new premises.
hom_1781;pictured;pictured;She pictured the future she wanted to create.; He pictured the sunset in his latest photograph.
hom_1750;stop;stop;The car will stop at the red light.;He adjusted a stop on the pipe organ.
het_1194;granite;granted;The committee granted her request for additional research funds.;The kitchen countertops are made of polished granite.
hom_1990; kicking myself; kicking myself; I am kicking myself for not taking karate lessons earlier.; During practice, I am kicking myself to perfect my karate moves.
hom_1334;impressed;impressed;The manager was impressed by her dedication to the project.;The blacksmith impressed the branding iron onto the cow's hide.
hom_1079;grain;grain;The wood has a fine grain structure.;The farmer stores his grain in silos.
hom_1469;dated;dated;The furniture in the living room looks very dated.;They decided to date for a few months before getting engaged.
hom_404;fly;fly;Penguins cannot fly.;My parents said that wasn't going to fly.
hom_2; saving place; saving place; I keep my money in a saving place at the bank; The rescue team established a saving place for stranded hikers.
hom_1279;heated;heated;The soup is perfectly heated for serving.;The debate became heated as the discussion progressed.
hom_659;flexible;flexible;The project deadline is flexible to allow for any unforeseen delays.;The dancer remains flexible, effortlessly transitioning between various movements.
het_1126;inferred;in fur red;She inferred from the data that the experiment was successful.;She chose to wear a stylish coat in fur red for the winter gala.
hom_243;sweeping;sweeping;She is sweeping the kitchen floor.;The new dance craze is sweeping the nation.
het_1038;bushi;bushy;The bushi trained rigorously every day.;His beard was so bushy that it obscured his face.
hom_26;spell disaster;spell disaster;If you leave the project unchecked, it could spell disaster for the company.;In the classroom, the teacher asked the students to spell disaster.
het_977;put their foot in;put their foot in;She put her foot in her mouth when she made an inappropriate comment.;He put his foot in the doorway to keep it from closing.
hom_1241;bypass;bypass;The heart surgeons performed a bypass to restore blood flow.;They decided to bypass the congested downtown roads.
hom_1377; drift apart; drift apart; After many years together, the couple began to drift apart.; The two boats started to drift apart in the strong current.
hom_206;rakes;stakes;She knows all the rakes used in gardening.;She understands all the stakes involved in the negotiation.
het_737;raven;raving;The raven perched silently on the ancient oak tree.;After staying up all night, he was raving and couldn't focus on his work.
